x y label
4 .000010 dynH
4 .000002 hungryH
4 0 singleH
4 .000010 fptasH
10 .000504 dynH
10 .000004 hungryH
10 .000002 singleH
10 .000500 fptasH
15 .014208 dynH
15 .000008 hungryH
15 .000002 singleH
15 .007584 fptasH
20 .080942 dynH
20 .000010 hungryH
20 .000002 singleH
20 .025292 fptasH
22 .120590 dynH
22 .000010 hungryH
22 .000002 singleH
22 .034328 fptasH
25 .204710 dynH
25 .000012 hungryH
25 .000002 singleH
25 .051640 fptasH
27 .249138 dynH
27 .000012 hungryH
27 .000002 singleH
27 .062136 fptasH
30 .349580 dynH
30 .000016 hungryH
30 .000002 singleH
30 .082542 fptasH
32 .435896 dynH
32 .000012 hungryH
32 .000002 singleH
32 .101642 fptasH
35 .558234 dynH
35 .000014 hungryH
35 .000002 singleH
35 .126996 fptasH
37 .649110 dynH
37 .000016 hungryH
37 .000002 singleH
37 .147170 fptasH
40 .792216 dynH
40 .000016 hungryH
40 .000002 singleH
40 .175732 fptasH
