x y label
4 .000012 dynN
4 .000002 hungryN
4 0 singleN
4 .000012 fptasN
10 .000514 dynN
10 .000004 hungryN
10 0 singleN
10 .000486 fptasN
15 .014872 dynN
15 .000008 hungryN
15 .000002 singleN
15 .008104 fptasN
20 .078888 dynN
20 .000010 hungryN
20 .000002 singleN
20 .026556 fptasN
22 .114784 dynN
22 .000010 hungryN
22 .000002 singleN
22 .035900 fptasN
25 .208052 dynN
25 .000012 hungryN
25 .000002 singleN
25 .057974 fptasN
27 .223608 dynN
27 .000012 hungryN
27 .000002 singleN
27 .061048 fptasN
30 .291732 dynN
30 .000010 hungryN
30 .000002 singleN
30 .076414 fptasN
32 .348044 dynN
32 .000012 hungryN
32 .000002 singleN
32 .088828 fptasN
35 .434604 dynN
35 .000012 hungryN
35 .000002 singleN
35 .108118 fptasN
37 .547092 dynN
37 .000012 hungryN
37 .000002 singleN
37 .132000 fptasN
40 .704324 dynN
40 .000014 hungryN
40 .000002 singleN
40 .165394 fptasN
