x y label
4 .123029 fptasH
4 12.939740 hungryH
4 35.772200 singleH
10 .127224 fptasH
10 9.023060 hungryH
10 73.480400 singleH
15 .130156 fptasH
15 6.139760 hungryH
15 81.983600 singleH
20 .129032 fptasH
20 4.991380 hungryH
20 86.386000 singleH
22 .129395 fptasH
22 4.266580 hungryH
22 87.645200 singleH
25 .128979 fptasH
25 3.821660 hungryH
25 89.082000 singleH
27 .127454 fptasH
27 3.664740 hungryH
27 89.892600 singleH
30 .128554 fptasH
30 3.409840 hungryH
30 90.870400 singleH
32 .129028 fptasH
32 3.063500 hungryH
32 91.434800 singleH
35 .129171 fptasH
35 2.788140 hungryH
35 92.163000 singleH
37 .128856 fptasH
37 2.510400 hungryH
37 92.582000 singleH
40 .128841 fptasH
40 2.398320 hungryH
40 93.148600 singleH
