x y label
4 12.939740 singleH
10 9.023060 singleH
15 6.139760 singleH
20 4.991380 singleH
22 4.266580 singleH
25 3.821660 singleH
27 3.664740 singleH
4 12.939740 singleH
10 9.023060 singleH
15 6.139760 singleH
20 4.991380 singleH
22 4.266580 singleH
25 3.821660 singleH
27 3.664740 singleH
30 3.409840 singleH
32 3.063500 singleH
35 2.788140 singleH
37 2.510400 singleH
40 2.398320 singleH
4 12.939740 singleH
10 9.023060 singleH
15 6.139760 singleH
20 4.991380 singleH
22 4.266580 singleH
25 3.821660 singleH
27 3.664740 singleH
30 3.409840 singleH
32 3.063500 singleH
35 2.788140 singleH
37 2.510400 singleH
40 2.398320 singleH
4 12.430480 singleH
10 9.023060 singleH
15 6.139760 singleH
20 4.991380 singleH
22 4.266580 singleH
25 3.821660 singleH
27 3.664740 singleH
30 3.409840 singleH
32 3.063500 singleH
35 2.788140 singleH
37 2.510400 singleH
40 2.398320 singleH
