x y label
4 .095931 fptasN
4 1.453410 hungryN
4 60.139400 singleN
10 .085455 fptasN
10 1.304166 hungryN
10 68.546800 singleN
15 .091002 fptasN
15 .968396 hungryN
15 79.198600 singleN
20 .145440 fptasN
20 .860422 hungryN
20 125.595400 singleN
22 .089912 fptasN
22 .778518 hungryN
22 84.639200 singleN
25 .091948 fptasN
25 .724522 hungryN
25 86.921000 singleN
27 .091139 fptasN
27 .691782 hungryN
27 87.121200 singleN
30 .089941 fptasN
30 .529006 hungryN
30 87.479400 singleN
32 .092691 fptasN
32 .596280 hungryN
32 88.943600 singleN
35 .092870 fptasN
35 .557696 hungryN
35 89.693800 singleN
37 .093395 fptasN
37 .469084 hungryN
37 90.602800 singleN
40 .094362 fptasN
40 .481640 hungryN
40 90.929800 singleN
