dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8 -k 0.1
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8 -k 1000
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8 -k 1000
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8 -k -1000
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
dawn@LAPTOP-3384QH71:~/docs/FIT/mi/mi-paa/03$ ./gen/kg2 -n 5 -N 10 -W 100 -C 100 -m 0.8 -k -0.6
1 5 148 15 6 18 17 81 80 60 63 11 7
2 5 136 30 31 12 14 25 18 57 60 46 44
3 5 254 96 96 98 98 3 9 55 55 66 66
4 5 161 20 20 61 58 41 41 9 15 71 71
5 5 228 69 67 66 69 52 51 13 5 86 86
6 5 188 58 58 35 31 61 64 64 67 17 24
7 5 227 84 85 7 5 30 32 75 73 88 88
8 5 265 20 23 35 32 86 86 95 95 96 96
9 5 231 59 62 54 57 20 16 96 95 60 56
10 5 212 8 3 65 66 71 72 25 19 97 97
